name,start,end,type,fmt
DADLEAVE2,564,565,d,N2.
DADHOURS2,566,567,d,N2.
DADMTHS2,568,569,d,N2.
DADLOOK2,570,571,d,N2.
DADAGN2,572,573,d,N2.
DADEMPL2,574,575,d,N2.
DADREL2,576,577,d,N2.
DADANSAD2,578,579,d,N2.
DADENROL2,580,581,d,N2.
FOINTHM,582,583,d,N2.
HWELFTAN,584,585,d,N2.
HWELFST,586,587,d,N2.
HWIC,588,589,d,N2.
HFOODST,590,591,d,N2.
HMEDICAD,592,593,d,N2.
HCHIP,594,595,d,N2.
HSECN8,596,597,d,N2.
H3YRMOVE,598,599,d,N2.
HINCMRNG,600,601,d,N2.
HINCM50K,602,603,d,N2.
HINCOME,604,605,d,N2.
ALLGRADE,606,607,c,C2
CENREG,608,609,d,N2.
DADEDUC1,610,611,d,N2.
DADEMPLD1,612,613,d,N2.
DADEDUC2,614,615,d,N2.
DADEMPLD2,616,617,d,N2.
DISABLTY,618,619,d,N2.
DISBLTY2,620,621,d,N2.
FAMILY,622,623,d,N2.
FAMILY07,624,625,d,N2.
HH18OVER,626,627,d,N2.
HHDAD1,628,629,d,N2.
HHDAD2,630,631,d,N2.
HHMOM1,632,633,d,N2.
HHMOM2,634,635,d,N2.
HHPARN1,636,637,d,N2.
HHPARN07,638,639,d,N2.
HHTOTAL,640,641,d,N2.
HHUNDR6,642,643,d,N2.
HHUNDR10,644,645,d,N2.
HHUNDR13,646,647,d,N2.
HHUNDR18,648,649,d,N2.
HHUNDR21,650,651,d,N2.
LANGUAGE07,652,653,d,N2.
MOMEDUC1,654,655,d,N2.
MOMEMPLD1,656,657,d,N2.
MOMFTFY1,658,659,d,N2.
MOMEDUC2,660,661,d,N2.
MOMEMPLD2,662,663,d,N2.
MOMFTFY2,664,665,d,N2.
NUMSIBS,666,667,d,N2.
PARGRADE07,668,669,d,N2.
RACEETHN,670,671,d,N2.
RACEETH2,672,673,d,N2.
TVHOURS,674,676,d,N3.
ZIP18PO2,677,678,d,N2.
ZIPBLHI2,679,680,d,N2.
ZIPLOCL,681,682,d,N2.
FRWT,683,690,d,N8.3
FRWT1,691,698,d,N8.3
FRWT2,699,706,d,N8.3
FRWT3,707,714,d,N8.3
FRWT4,715,722,d,N8.3
FRWT5,723,730,d,N8.3
FRWT6,731,738,d,N8.3
FRWT7,739,746,d,N8.3
FRWT8,747,754,d,N8.3
FRWT9,755,762,d,N8.3
FRWT10,763,770,d,N8.3
FRWT11,771,778,d,N8.3
FRWT12,779,786,d,N8.3
FRWT13,787,794,d,N8.3
FRWT14,795,802,d,N8.3
FRWT15,803,810,d,N8.3
FRWT16,811,818,d,N8.3
FRWT17,819,826,d,N8.3
FRWT18,827,834,d,N8.3
FRWT19,835,842,d,N8.3
FRWT20,843,850,d,N8.3
FRWT21,851,858,d,N8.3
FRWT22,859,866,d,N8.3
FRWT23,867,874,d,N8.3
FRWT24,875,882,d,N8.3
FRWT25,883,890,d,N8.3
FRWT26,891,898,d,N8.3
FRWT27,899,906,d,N8.3
FRWT28,907,914,d,N8.3
FRWT29,915,922,d,N8.3
FRWT30,923,930,d,N8.3
FRWT31,931,938,d,N8.3
FRWT32,939,946,d,N8.3
FRWT33,947,954,d,N8.3
FRWT34,955,962,d,N8.3
FRWT35,963,970,d,N8.3
FRWT36,971,978,d,N8.3
FRWT37,979,986,d,N8.3
FRWT38,987,994,d,N8.3
FRWT39,995,1002,d,N8.3
FRWT40,1003,1010,d,N8.3
FRWT41,1011,1018,d,N8.3
FRWT42,1019,1026,d,N8.3
FRWT43,1027,1034,d,N8.3
FRWT44,1035,1042,d,N8.3
FRWT45,1043,1050,d,N8.3
FRWT46,1051,1058,d,N8.3
FRWT47,1059,1066,d,N8.3
FRWT48,1067,1074,d,N8.3
FRWT49,1075,1082,d,N8.3
FRWT50,1083,1090,d,N8.3
FRWT51,1091,1098,d,N8.3
FRWT52,1099,1106,d,N8.3
FRWT53,1107,1114,d,N8.3
FRWT54,1115,1122,d,N8.3
FRWT55,1123,1130,d,N8.3
FRWT56,1131,1138,d,N8.3
FRWT57,1139,1146,d,N8.3
FRWT58,1147,1154,d,N8.3
FRWT59,1155,1162,d,N8.3
FRWT60,1163,1170,d,N8.3
FRWT61,1171,1178,d,N8.3
FRWT62,1179,1186,d,N8.3
FRWT63,1187,1194,d,N8.3
FRWT64,1195,1202,d,N8.3
FRWT65,1203,1210,d,N8.3
FRWT66,1211,1218,d,N8.3
FRWT67,1219,1226,d,N8.3
FRWT68,1227,1234,d,N8.3
FRWT69,1235,1242,d,N8.3
FRWT70,1243,1250,d,N8.3
FRWT71,1251,1258,d,N8.3
FRWT72,1259,1266,d,N8.3
FRWT73,1267,1274,d,N8.3
FRWT74,1275,1282,d,N8.3
FRWT75,1283,1290,d,N8.3
FRWT76,1291,1298,d,N8.3
FRWT77,1299,1306,d,N8.3
FRWT78,1307,1314,d,N8.3
FRWT79,1315,1322,d,N8.3
FRWT80,1323,1330,d,N8.3
RPSU,1331,1334,d,N4.
RSTRATUM,1335,1336,d,N2.
RESPAGF,1337,1338,d,N2.
MOMAGF1,1339,1340,d,N2.
MOMTYPF1,1341,1342,d,N2.
MOMTYPF2,1343,1344,d,N2.
DADAGF1,1345,1346,d,N2.
DADTYPF1,1347,1348,d,N2.
AGF1,1349,1350,d,N2.
RELATF1,1351,1352,d,N2.
AGF2,1353,1354,d,N2.
RELATF2,1355,1356,d,N2.
AGF3,1357,1358,d,N2.
RELATF3,1359,1360,d,N2.
AGF4,1361,1362,d,N2.
AGF5,1363,1364,d,N2.
RELATF6,1365,1366,d,N2.
CDOBMF,1367,1368,d,N2.
CDOBYF,1369,1370,d,N2.
CSPEAF,1371,1372,d,N2.
RESPEAF,1373,1374,d,N2.
ENROLF,1375,1376,d,N2.
HOMESCHF,1377,1378,d,N2.
CPNNOF,1379,1380,d,N2.
CPNEVEF,1381,1382,d,N2.
CPHRF,1383,1384,d,N2.
CPVISIF,1385,1386,d,N2.
PCEVRHF,1387,1388,d,N2.
DPCOLOF,1389,1390,d,N2.
DPLETTEF,1391,1392,d,N2.
DPCOUNF,1393,1394,d,N2.
DPNAMF,1395,1396,d,N2.
DPRHYMF,1397,1398,d,N2.
DPSTSNF,1399,1400,d,N2.
DPPENCIF,1401,1402,d,N2.
DPFIDGEF,1403,1404,d,N2.
DPSPEAF,1405,1406,d,N2.
